VANCOUVER	82	54	19	9	117	.713	3.15	2.20	1.32	24.3	85.6	32.0	30.1	.837	.394	.914	.927	.609	.742	54.9	
PITTSBURGH	82	49	25	8	106	.646	2.78	2.39	1.11	15.8	86.1	31.5	28.7	.756	.439	.793	.889	.566	.654	49.2	
WASHINGTON	82	48	23	11	107	.652	2.67	2.33	1.07	17.5	85.6	31.3	29.0	.714	.489	.778	.906	.565	.618	51.6	
SAN JOSE	82	48	25	9	105	.640	2.96	2.54	1.16	23.5	79.6	34.5	28.9	.744	.410	.773	.806	.583	.550	53.7	
PHILADELPHIA	82	47	23	12	106	.646	3.12	2.63	1.21	16.6	82.8	31.8	30.1	.680	.406	.735	.864	.548	.571	50.3	
DETROIT	82	47	25	10	104	.634	3.13	2.89	1.02	22.3	82.3	33.6	30.7	.732	.415	.800	.875	.563	.563	51.9	
ANAHEIM	82	47	30	5	99	.604	2.87	2.84	0.89	23.5	81.3	28.5	32.3	.739	.361	.893	.909	.406	.667	47.7	
TAMPA BAY	82	46	25	11	103	.628	2.94	2.85	0.99	20.5	83.8	31.8	28.7	.627	.452	.724	.872	.510	.633	50.4	
BOSTON	82	46	25	11	103	.628	2.98	2.30	1.40	16.2	82.6	32.9	32.7	.714	.400	.800	.882	.512	.595	51.9	
LOS ANGELES	82	46	30	6	98	.598	2.55	2.39	1.05	16.1	85.5	28.8	27.9	.720	.313	.731	.963	.500	.618	51.1	
NASHVILLE	82	44	27	11	99	.604	2.60	2.32	1.16	15.2	84.9	28.8	30.6	.698	.359	.694	.795	.588	.478	50.2	
CHICAGO	82	44	29	9	97	.591	3.07	2.68	1.15	23.1	79.2	32.2	28.7	.681	.343	.703	.825	.520	.548	50.8	
MONTREAL	82	44	30	8	96	.585	2.60	2.51	1.01	19.7	84.4	31.7	31.0	.727	.316	.833	.833	.563	.500	49.0	
NY RANGERS	82	44	33	5	93	.567	2.73	2.38	1.09	16.9	83.7	29.9	29.4	.683	.390	.739	1.000	.500	.618	47.7	
PHOENIX	82	43	26	13	99	.604	2.76	2.68	1.17	15.9	78.4	30.3	32.6	.738	.300	.720	.889	.480	.577	51.5	
BUFFALO	82	43	29	10	96	.585	2.93	2.78	1.14	19.4	83.0	32.8	30.7	.658	.409	.690	.833	.435	.629	47.7	
DALLAS	82	42	29	11	95	.579	2.71	2.76	1.00	18.0	80.1	27.7	30.5	.821	.233	.897	.889	.625	.478	50.0	
CALGARY	82	41	29	12	94	.573	2.94	2.80	1.09	19.5	81.2	30.5	28.5	.718	.302	.731	.833	.521	.433	48.2	
CAROLINA	82	40	31	11	91	.555	2.82	2.85	0.99	15.9	81.2	30.7	33.2	.757	.267	.950	.964	.393	.529	44.6	
MINNESOTA	82	39	35	8	86	.524	2.48	2.78	0.85	18.2	82.8	26.2	32.0	.795	.186	.793	.962	.231	.522	50.8	
ST LOUIS	82	38	33	11	87	.530	2.88	2.78	1.02	18.6	81.7	30.2	27.7	.587	.306	.567	.839	.392	.600	47.3	
NEW JERSEY	82	38	39	5	81	.494	2.08	2.52	0.80	14.4	83.4	28.6	26.2	.692	.256	.760	.917	.386	.545	51.2	
TORONTO	82	37	34	11	85	.518	2.60	2.99	0.94	16.0	77.4	28.8	31.0	.656	.320	.750	.857	.433	.480	50.5	
COLUMBUS	82	34	35	13	81	.494	2.56	3.05	0.88	14.0	80.2	30.6	29.8	.611	.261	.773	.826	.419	.417	51.2	
ATLANTA	82	34	36	12	80	.488	2.66	3.20	0.86	18.3	77.5	31.5	32.2	.489	.324	.500	.741	.400	.419	48.7	
OTTAWA	82	32	40	10	74	.451	2.32	2.99	0.73	17.5	83.7	29.0	31.2	.632	.182	.667	.862	.324	.442	50.8	
NY ISLANDERS	82	30	39	13	73	.445	2.74	3.15	0.81	17.2	83.2	29.4	32.0	.690	.189	.722	.704	.219	.469	50.1	
FLORIDA	82	30	40	12	72	.439	2.33	2.71	0.87	13.1	84.6	30.4	31.8	.590	.163	.583	.750	.258	.467	51.9	
COLORADO	82	30	44	8	68	.415	2.70	3.50	0.88	18.5	76.1	29.2	31.8	.545	.245	.714	.944	.276	.426	50.6	
EDMONTON	82	25	45	12	62	.378	2.33	3.17	0.74	14.5	77.0	26.7	31.7	.563	.140	.750	.682	.182	.375	44.2	
