BUFFALO	82	53	22	7	113	.689	3.63	2.90	1.43	17.4	81.4	29.5	31.0	.729	.529	.893	.848	.676	.643	51.4
NASHVILLE	82	51	23	8	110	.671	3.24	2.52	1.28	17.4	85.8	27.6	31.2	.731	.433	.744	.854	.750	.551	50.3
SAN JOSE	82	51	26	5	107	.652	3.12	2.40	1.12	22.4	83.3	28.6	26.2	.833	.400	.853	.891	.660	.536	51.1
DETROIT	82	50	19	13	113	.689	3.07	2.33	1.47	17.1	84.6	33.8	24.6	.791	.410	.741	.892	.667	.500	53.6
DALLAS	82	50	25	7	107	.652	2.65	2.35	1.06	18.5	84.4	28.0	25.4	.780	.439	.893	.882	.638	.613	50.1
NEW JERSEY	82	49	24	9	107	.652	2.51	2.35	0.95	17.7	85.2	28.7	28.4	.739	.417	.783	.912	.711	.538	49.0
VANCOUVER	82	49	26	7	105	.640	2.65	2.40	1.00	17.2	86.9	29.3	29.2	.773	.395	.778	.833	.641	.538	49.2
ANAHEIM	82	48	20	14	110	.671	3.10	2.42	1.15	22.4	85.1	31.5	27.4	.708	.412	.724	.842	.556	.640	51.8
OTTAWA	82	48	25	9	105	.640	3.49	2.63	1.40	17.9	84.5	32.3	30.2	.750	.353	.789	.800	.617	.563	50.3
MINNESOTA	82	48	26	8	104	.634	2.74	2.24	1.06	19.0	86.0	29.6	28.8	.732	.439	.815	.966	.674	.500	47.6
PITTSBURGH	82	47	24	11	105	.640	3.26	2.93	1.04	20.3	82.1	28.9	30.9	.674	.462	.676	.848	.645	.543	47.0
COLORADO	82	44	31	7	95	.579	3.26	3.01	1.09	21.1	80.2	31.7	29.0	.667	.419	.692	.818	.549	.483	48.6
TAMPA BAY	82	44	33	5	93	.567	2.96	3.16	0.89	18.4	78.4	29.5	27.2	.683	.390	.769	.815	.604	.424	48.9
ATLANTA	82	43	28	11	97	.591	2.92	2.94	1.10	16.5	79.8	29.7	31.5	.614	.421	.667	.727	.433	.563	52.9
CALGARY	82	43	29	10	96	.585	3.11	2.70	1.24	18.2	80.4	27.3	30.5	.674	.333	.806	.933	.667	.462	48.4
NY RANGERS	82	42	30	10	94	.573	2.84	2.57	1.10	18.5	83.8	31.5	28.4	.667	.324	.645	.771	.469	.594	49.9
MONTREAL	82	42	34	6	90	.549	2.92	3.06	0.75	22.8	83.5	29.6	32.7	.742	.373	.737	.867	.500	.520	49.5
NY ISLANDERS	82	40	30	12	92	.561	2.93	2.87	1.18	18.1	81.8	30.0	32.6	.738	.225	.821	.829	.533	.460	51.6
TORONTO	82	40	31	11	91	.555	3.10	3.20	1.11	17.7	78.5	32.7	28.4	.659	.317	.769	.800	.526	.421	51.9
CAROLINA	82	40	34	8	88	.537	2.94	3.02	0.86	15.0	84.6	31.2	28.5	.727	.327	.885	.900	.490	.414	52.3
FLORIDA	82	35	31	16	86	.524	2.99	3.04	1.09	18.1	82.4	33.3	29.3	.649	.244	.640	.765	.490	.241	47.9
BOSTON	82	35	41	6	76	.463	2.56	3.48	0.71	17.2	81.7	28.9	33.5	.581	.256	.607	.720	.536	.373	48.3
ST LOUIS	82	34	35	13	81	.494	2.54	3.02	1.03	12.1	80.0	26.9	28.9	.568	.237	.500	.767	.394	.444	51.1
COLUMBUS	82	33	42	7	73	.445	2.39	2.98	0.85	14.8	81.2	27.7	28.6	.697	.204	.800	.808	.351	.450	50.2
EDMONTON	82	32	43	7	71	.433	2.34	2.99	0.77	14.2	84.6	26.7	29.7	.550	.238	.682	.917	.385	.400	51.5
CHICAGO	82	31	42	9	71	.433	2.38	3.06	0.86	11.8	82.6	26.8	29.4	.550	.214	.571	.739	.321	.380	47.8
PHOENIX	82	31	46	5	67	.409	2.57	3.44	0.78	16.5	78.4	28.3	30.1	.621	.245	.714	.792	.500	.292	52.7
WASHINGTON	82	28	40	14	70	.427	2.85	3.35	0.85	16.4	80.2	28.0	33.3	.568	.156	.594	.778	.250	.362	49.8
LOS ANGELES	82	27	41	14	68	.415	2.72	3.38	0.77	18.3	77.9	31.0	29.8	.459	.222	.571	.708	.340	.281	47.7
PHILADELPHIA	82	22	48	12	56	.341	2.60	3.62	0.66	14.1	84.5	28.8	32.6	.500	.135	.625	.923	.281	.265	47.1
